ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF18abcsgvj,SN2018cxl,17:44:24.63,+55:10:31.5,58302.29,g,18.3988,-18.87,19.036,7.113,11.923,SN Ia,0.06,31.38952425,0.157,0.06
ZTF18abcvush,SN2018dcn,17:06:44.03,+18:21:25.3,58305.34,r,18.1142,-18.72,21.458,10.633,10.825,SN Ia,0.05,31.07970866,0.185,0.05
ZTF18abcysdx,SN2018deq,18:11:57.33,+30:02:43.4,58308.33,r,18.7653,-18.73,26.979,11.991,14.988,SN Ia,0.067,21.123014,0.205,0.067
ZTF18abdbuty,SN2018dbd,16:52:47.33,+51:33:48.5,58306.31,g,18.0839,-19.62,22.578,7.526,15.052,SN Ia,0.075,39.12195698,0.109,0.075
ZTF18abdcudb,SN2019kza,19:39:52.93,+47:56:12.3,58677.35,g,18.5745,-19.64,25.158,9.454,15.704,SN Ia,0.087,12.32344318,0.255,0.087
ZTF18abddrhd,SN2018dym,16:05:04.16,+36:05:38.7,58311.21,r,18.9495,-19.08,24.393,14.21,10.183,SN Ia,0.09,48.24679834,0.056,0.09
ZTF18abdefet,SN2018dds,17:44:18.11,+68:01:44.8,58310.39,r,18.6809,-19.0,23.063,11.694,11.369,SN Ia,0.075,31.26662963,0.121,0.075
ZTF18abdfazk,SN2018dbe,14:27:55.22,+40:58:27.6,58306.22,g,18.5394,-19.4,26.808,8.353,18.455,SN Ia,0.087,65.82144325,0.029,0.087
ZTF18abdfwur,SN2018eps,16:20:43.15,+65:38:20.8,58308.2,g,18.4135,-19.1,20.317,7.74,12.577,SN Ia,0.07,39.77532992,0.071,0.07
ZTF18abdfydj,SN2018dzr,17:02:22.57,+57:45:05.1,58306.31,g,18.3819,-19.11,25.88,5.84,20.04,SN Ia,0.07,37.09955145,0.056,0.07
ZTF18abdgwxn,SN2018dcm,17:25:41.49,+23:52:08.7,58305.3,g,18.704,-18.71,18.74,7.497,11.243,SN Ia,0.0638,28.81361087,0.157,0.0638
